epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,49,,,,0.65625,,0.6410049796104431,,
0,99,,,,0.5625,,0.6964295506477356,,
0,149,,,,0.6875,,0.6006826162338257,,
0,199,,,,0.71875,,0.5843695998191833,,
0,249,,,,0.75,,0.5742933750152588,,
0,249,,,,,,,0.6945000290870667,0.5934518575668335
0,249,,,0.6175000071525574,,0.6468257904052734,,,
1,299,,,,0.75,,0.5252903699874878,,
1,349,,,,0.75,,0.53659987449646,,
1,399,,,,0.78125,,0.5048142075538635,,
1,449,,,,0.75,,0.5326752066612244,,
1,499,,,,0.65625,,0.5684560537338257,,
1,499,,,,,,,0.7024999856948853,0.5663838386535645
1,499,,,0.6945000290870667,,0.577417254447937,,,
2,549,,,,0.71875,,0.6684522032737732,,
2,599,,,,0.875,,0.4229135811328888,,
2,649,,,,0.78125,,0.4552616775035858,,
2,699,,,,0.75,,0.5087150931358337,,
2,749,,,,0.78125,,0.474230021238327,,
2,749,,,,,,,0.7350000143051147,0.5165613889694214
2,749,,,0.7418749928474426,,0.5176594257354736,,,
3,799,,,,0.71875,,0.4990185499191284,,
3,849,,,,0.84375,,0.3954409658908844,,
3,899,,,,0.8125,,0.42938852310180664,,
3,949,,,,0.84375,,0.4984655976295471,,
3,999,,,,0.78125,,0.5197156667709351,,
3,999,,,,,,,0.7490000128746033,0.49896690249443054
3,999,,,0.7797499895095825,,0.46018996834754944,,,
4,1049,,,,0.71875,,0.5012891292572021,,
4,1099,,,,0.8125,,0.42724621295928955,,
4,1149,,,,0.84375,,0.4081227779388428,,
4,1199,,,,0.875,,0.323371946811676,,
4,1249,,,,0.8125,,0.4884772300720215,,
4,1249,,,,,,,0.7739999890327454,0.4972667396068573
4,1249,,,0.8077499866485596,,0.4080691933631897,,,
5,1299,,,,0.84375,,0.3216017484664917,,
5,1349,,,,0.84375,,0.3172985017299652,,
5,1399,,,,0.84375,,0.342044860124588,,
5,1449,,,,0.65625,,0.5105618834495544,,
5,1499,,,,0.875,,0.32881811261177063,,
5,1499,,,,,,,0.7724999785423279,0.4775262773036957
5,1499,,,0.8420000076293945,,0.3487875461578369,,,
6,1549,,,,0.90625,,0.2647950351238251,,
6,1599,,,,0.84375,,0.2770557999610901,,
6,1649,,,,0.96875,,0.1427071988582611,,
6,1699,,,,0.9375,,0.19669422507286072,,
6,1749,,,,0.84375,,0.2983725368976593,,
6,1749,,,,,,,0.762499988079071,0.5340257883071899
6,1749,,,0.8723750114440918,,0.29551488161087036,,,
7,1799,,,,0.8125,,0.3571701645851135,,
7,1849,,,,0.96875,,0.1550731211900711,,
7,1899,,,,0.96875,,0.16491347551345825,,
7,1949,,,,0.9375,,0.18188707530498505,,
7,1999,,,,0.90625,,0.2807218134403229,,
7,1999,,,,,,,0.7494999766349792,0.5853968858718872
7,1999,,,0.9020000100135803,,0.23720957338809967,,,
8,2049,,,,0.96875,,0.16578270494937897,,
8,2099,,,,0.9375,,0.20894967019557953,,
8,2149,,,,0.78125,,0.37339210510253906,,
8,2199,,,,0.90625,,0.3158504068851471,,
8,2249,,,,0.90625,,0.15741859376430511,,
8,2249,,,,,,,0.7570000290870667,0.6586025953292847
8,2249,,,0.9291250109672546,,0.18082982301712036,,,
9,2299,,,,0.84375,,0.28827622532844543,,
9,2349,,,,0.90625,,0.19816668331623077,,
9,2399,,,,0.90625,,0.1448346972465515,,
9,2449,,,,0.9375,,0.12337309122085571,,
9,2499,,,,0.96875,,0.08570808172225952,,
9,2499,,,,,,,0.765500009059906,0.6304163336753845
9,2499,,,0.9463750123977661,,0.1420530080795288,,,
10,2549,,,,1.0,,0.019198475405573845,,
10,2599,,,,1.0,,0.032932572066783905,,
10,2649,,,,1.0,,0.03255748376250267,,
10,2699,,,,0.96875,,0.06093282997608185,,
10,2749,,,,0.96875,,0.3115845322608948,,
10,2749,,,,,,,0.7620000243186951,0.8326245546340942
10,2749,,,0.9606249928474426,,0.11140051484107971,,,
11,2799,,,,0.9375,,0.1066085696220398,,
11,2849,,,,1.0,,0.035014957189559937,,
11,2899,,,,0.9375,,0.08444137871265411,,
11,2949,,,,0.96875,,0.06779841333627701,,
11,2999,,,,0.9375,,0.07929956167936325,,
11,2999,,,,,,,0.7404999732971191,0.9345074892044067
11,2999,,,0.9681249856948853,,0.08757959306240082,,,
12,3049,,,,0.9375,,0.09039323776960373,,
12,3099,,,,1.0,,0.03547945246100426,,
12,3149,,,,0.9375,,0.06439417600631714,,
12,3199,,,,0.90625,,0.12301033735275269,,
12,3249,,,,0.96875,,0.06147424131631851,,
12,3249,,,,,,,0.7505000233650208,1.0125641822814941
12,3249,,,0.9716249704360962,,0.07405781745910645,,,
13,3299,,,,1.0,,0.007510385476052761,,
13,3349,,,,1.0,,0.014444006606936455,,
13,3399,,,,0.96875,,0.13025377690792084,,
13,3449,,,,1.0,,0.030210182070732117,,
13,3499,,,,1.0,,0.020158633589744568,,
13,3499,,,,,,,0.7505000233650208,1.1796575784683228
13,3499,,,0.9757500290870667,,0.0644635334610939,,,
14,3549,,,,1.0,,0.013632080517709255,,
14,3599,,,,0.9375,,0.0640384629368782,,
14,3649,,,,0.9375,,0.2176579385995865,,
14,3699,,,,0.96875,,0.08086444437503815,,
14,3749,,,,0.96875,,0.06077486649155617,,
14,3749,,,,,,,0.7770000100135803,1.0220533609390259
14,3749,,,0.9823750257492065,,0.05099909007549286,,,
