epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,49,,,,0.6875,,0.6708049178123474,,
0,99,,,,0.59375,,0.637191891670227,,
0,149,,,,0.65625,,0.6206524968147278,,
0,199,,,,0.8125,,0.5182551145553589,,
0,249,,,,0.6875,,0.6268141269683838,,
0,249,,,,,,,0.6284999847412109,0.6507514119148254
0,249,,,0.5707499980926514,,0.6746393442153931,,,
1,299,,,,0.65625,,0.6345499157905579,,
1,349,,,,0.6875,,0.6210149526596069,,
1,399,,,,0.625,,0.6349005103111267,,
1,449,,,,0.65625,,0.6994147896766663,,
1,499,,,,0.78125,,0.5215964913368225,,
1,499,,,,,,,0.6800000071525574,0.6005960702896118
1,499,,,0.6396250128746033,,0.6320224404335022,,,
2,549,,,,0.65625,,0.6213751435279846,,
2,599,,,,0.6875,,0.5624092817306519,,
2,649,,,,0.6875,,0.5852451324462891,,
2,699,,,,0.625,,0.5856525897979736,,
2,749,,,,0.78125,,0.49214494228363037,,
2,749,,,,,,,0.7070000171661377,0.5640262961387634
2,749,,,0.6852499842643738,,0.5889968276023865,,,
3,799,,,,0.5625,,0.6659450531005859,,
3,849,,,,0.53125,,0.7509534955024719,,
3,899,,,,0.6875,,0.5618477463722229,,
3,949,,,,0.71875,,0.5873486995697021,,
3,999,,,,0.71875,,0.5684416890144348,,
3,999,,,,,,,0.7434999942779541,0.5143940448760986
3,999,,,0.7148749828338623,,0.5559530258178711,,,
4,1049,,,,0.71875,,0.4925217032432556,,
4,1099,,,,0.90625,,0.3550369143486023,,
4,1149,,,,0.6875,,0.6302711367607117,,
4,1199,,,,0.75,,0.5433264374732971,,
4,1249,,,,0.65625,,0.6379699110984802,,
4,1249,,,,,,,0.7615000009536743,0.5018346309661865
4,1249,,,0.7288749814033508,,0.5298624038696289,,,
5,1299,,,,0.65625,,0.6418105363845825,,
5,1349,,,,0.84375,,0.40425166487693787,,
5,1399,,,,0.6875,,0.5144447684288025,,
5,1449,,,,0.875,,0.44554832577705383,,
5,1499,,,,0.65625,,0.6486330628395081,,
5,1499,,,,,,,0.7515000104904175,0.4964514374732971
5,1499,,,0.7456250190734863,,0.5100876092910767,,,
6,1549,,,,0.71875,,0.524872899055481,,
6,1599,,,,0.84375,,0.3193656802177429,,
6,1649,,,,0.84375,,0.4657997488975525,,
6,1699,,,,0.84375,,0.29792046546936035,,
6,1749,,,,0.78125,,0.5212147831916809,,
6,1749,,,,,,,0.7705000042915344,0.470305860042572
6,1749,,,0.7565000057220459,,0.4972386658191681,,,
7,1799,,,,0.8125,,0.46906718611717224,,
7,1849,,,,0.78125,,0.47040191292762756,,
7,1899,,,,0.8125,,0.43089425563812256,,
7,1949,,,,0.78125,,0.5586181879043579,,
7,1999,,,,0.9375,,0.3701532483100891,,
7,1999,,,,,,,0.7590000033378601,0.4894949793815613
7,1999,,,0.768750011920929,,0.47936075925827026,,,
8,2049,,,,0.8125,,0.37865129113197327,,
8,2099,,,,0.875,,0.37875187397003174,,
8,2149,,,,0.78125,,0.40753185749053955,,
8,2199,,,,0.875,,0.37006905674934387,,
8,2249,,,,0.96875,,0.22348067164421082,,
8,2249,,,,,,,0.7894999980926514,0.44910022616386414
8,2249,,,0.7762500047683716,,0.46284860372543335,,,
9,2299,,,,0.9375,,0.2967800498008728,,
9,2349,,,,0.78125,,0.46660342812538147,,
9,2399,,,,0.71875,,0.43554115295410156,,
9,2449,,,,0.78125,,0.3999750018119812,,
9,2499,,,,0.78125,,0.4016001224517822,,
9,2499,,,,,,,0.7860000133514404,0.4485510587692261
9,2499,,,0.7817500233650208,,0.4555843770503998,,,
10,2549,,,,0.90625,,0.34293583035469055,,
10,2599,,,,0.78125,,0.45287802815437317,,
