epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,4,,,,,,,0.6499999761581421,0.5826659798622131
0,4,,,0.5,,0.6991232633590698,,,
1,9,,,,,,,0.800000011920929,0.46072760224342346
1,9,,,0.793749988079071,,0.49836987257003784,,,
2,14,,,,,,,0.8500000238418579,0.340825617313385
2,14,,,0.90625,,0.3675294816493988,,,
3,19,,,,,,,0.8500000238418579,0.2934021055698395
3,19,,,0.918749988079071,,0.2876444458961487,,,
4,24,,,,,,,0.8999999761581421,0.2582045793533325
4,24,,,0.956250011920929,,0.2150183469057083,,,
5,29,,,,,,,0.8999999761581421,0.22535128891468048
5,29,,,0.949999988079071,,0.19454792141914368,,,
6,34,,,,,,,0.8999999761581421,0.19713819026947021
6,34,,,1.0,,0.14449195563793182,,,
7,39,,,,,,,0.8999999761581421,0.1864023506641388
7,39,,,0.981249988079071,,0.1316065490245819,,,
8,44,,,,,,,0.8999999761581421,0.17939969897270203
8,44,,,0.9750000238418579,,0.12097467482089996,,,
9,49,,,,0.96875,,0.12164831161499023,,
9,49,,,,,,,0.8999999761581421,0.16838008165359497
9,49,,,0.9750000238418579,,0.11932985484600067,,,
10,54,,,,,,,0.949999988079071,0.16092565655708313
10,54,,,0.987500011920929,,0.0996694415807724,,,
11,59,,,,,,,0.8999999761581421,0.1431603878736496
11,59,,,0.9937499761581421,,0.09444352984428406,,,
12,64,,,,,,,0.949999988079071,0.1471923142671585
12,64,,,0.987500011920929,,0.08854089677333832,,,
13,69,,,,,,,0.949999988079071,0.14986026287078857
13,69,,,0.987500011920929,,0.08833203464746475,,,
14,74,,,,,,,0.949999988079071,0.13037753105163574
14,74,,,0.9750000238418579,,0.09388163685798645,,,
15,79,,,,,,,0.949999988079071,0.12123509496450424
15,79,,,0.987500011920929,,0.0768933892250061,,,
16,84,,,,,,,0.949999988079071,0.12936727702617645
16,84,,,1.0,,0.06439424306154251,,,
17,89,,,,,,,0.949999988079071,0.1265135109424591
17,89,,,0.9937499761581421,,0.06013137847185135,,,
18,94,,,,,,,0.949999988079071,0.11519511044025421
18,94,,,1.0,,0.07254151254892349,,,
19,99,,,,1.0,,0.06607338041067123,,
19,99,,,,,,,0.949999988079071,0.1159873753786087
19,99,,,1.0,,0.0553676076233387,,,
20,104,,,,,,,0.949999988079071,0.11205849796533585
20,104,,,0.987500011920929,,0.07856384664773941,,,
21,109,,,,,,,0.949999988079071,0.10606900602579117
21,109,,,1.0,,0.0570722296833992,,,
22,114,,,,,,,0.949999988079071,0.10407165437936783
22,114,,,1.0,,0.04813086614012718,,,
23,119,,,,,,,0.949999988079071,0.10724493116140366
23,119,,,1.0,,0.06005612760782242,,,
24,124,,,,,,,0.949999988079071,0.10192730277776718
24,124,,,1.0,,0.04524493217468262,,,
25,129,,,,,,,0.949999988079071,0.10299618542194366
25,129,,,1.0,,0.03977936506271362,,,
26,134,,,,,,,0.949999988079071,0.09880360215902328
26,134,,,1.0,,0.03503439575433731,,,
27,139,,,,,,,0.949999988079071,0.10639110952615738
27,139,,,0.9937499761581421,,0.0522267110645771,,,
28,144,,,,,,,0.949999988079071,0.08561228960752487
28,144,,,0.981249988079071,,0.07354788482189178,,,
29,149,,,,1.0,,0.06794092059135437,,
29,149,,,,,,,0.949999988079071,0.10147090256214142
29,149,,,0.987500011920929,,0.07402180135250092,,,
30,150,0.9523809552192688,0.0728786364197731,,,,,,
